,model_clstr,fitness,precision
0,cluster2-medoid0,0.999745989876506,0.17019942523730736
1,cluster2-medoid1,0.9998886972412834,0.25355674761668756
2,cluster2-medoid2,0.9997631449809287,0.20912369169427425
3,cluster2-medoid3,0.9998456352725799,0.24368639072453735
4,cluster2-medoid4,0.9998803049633642,0.17949338008584725
5,cluster2-medoid5,0.9997470334486076,0.18752961617438002
6,cluster2-medoid6,0.9998722254076422,0.20935929167410883
7,cluster2-medoid7,0.9998222851030871,0.18247051520794533
8,cluster2-medoid8,0.9998410240426876,0.2500288434783199
9,cluster2-medoid9,0.9998084257688298,0.21489576753000628
10,cluster2-medoid10,0.9998227916730575,0.2699236641221374
11,cluster2-medoid11,0.9998179523878741,0.1702323089287765
12,cluster2-medoid12,0.9998734538847944,0.1978396773758302
13,cluster2-medoid13,0.999887156499938,0.18469185536532273
14,cluster2-medoid14,0.9998504300942699,0.19051689185487142
15,cluster0-medoid0,0.9999263854464343,0.22867573846664457
16,cluster0-medoid1,0.9998544387403066,0.21418253447143798
17,cluster0-medoid2,0.9999617920763342,0.19239660929874136
18,cluster0-medoid3,0.9999677056624036,0.7096774193548387
19,cluster0-medoid4,0.99989030358243,0.19142101284958424
20,cluster0-medoid5,0.9998498431124943,0.1763807152557718
21,cluster0-medoid6,0.9998181699986234,0.16545814106789714
22,cluster0-medoid7,0.9998596717461269,0.2604235880398671
23,cluster0-medoid8,0.9999055532820014,0.19750211685012697
24,cluster0-medoid9,0.9999467809058026,0.4788990825688073
25,cluster1-medoid0,0.9998444599761831,0.16601659067186725
26,cluster1-medoid1,0.999832186860682,0.17104708362614196
27,cluster1-medoid2,0.9998499296793095,0.22893201746340386
28,cluster1-medoid3,0.99980739112576,0.1538279493551059
29,cluster1-medoid4,0.9999262908584405,0.20427005193306402
30,cluster1-medoid5,0.9998550082653427,0.21993315101792765
31,cluster1-medoid6,0.9999035479252076,0.16913725071984642
32,cluster1-medoid7,0.9998155576353372,0.19350775193798453
33,cluster1-medoid8,0.9998794917581232,0.19277026567914657
34,cluster1-medoid9,0.9999079221317029,0.18969723059262444
35,cluster1-medoid10,0.9999313786481052,0.4126984126984127
36,cluster1-medoid11,0.9998791353219196,0.288135593220339
37,cluster1-medoid12,0.9997653750806716,0.1681909063981043
38,cluster1-medoid13,0.9998450820613579,0.26679288344831165
39,cluster1-medoid14,0.9998380473510416,0.19841756624141316
